player_name,boundary_type,vertex_order,HB,IVB
"Abbott, Andrew",hull,0,9.0829,16.1828
"Abbott, Andrew",hull,1,-11.9363,2.4859
"Abbott, Andrew",hull,2,-8.693,-3.8696
"Abbott, Andrew",hull,3,15.1675,10.2062
"Abel, Mick",hull,0,-8.3465,16.1925
"Abel, Mick",hull,1,-14.9583,9.9309
"Abel, Mick",hull,2,-10.1295,3.1048
"Abel, Mick",hull,3,9.8119,-9.5782
"Abner, Philip",bbox,0,-2.2569,13.5323
"Abner, Philip",bbox,1,-2.2569,13.5323
"Abner, Philip",bbox,2,-2.2569,13.5323
"Abner, Philip",bbox,3,-2.2569,13.5323
"Abreu, Bryan",bbox,0,-6.5521,-6.0869
"Abreu, Bryan",bbox,1,8.4371,-6.0869
"Abreu, Bryan",bbox,2,8.4371,16.6
"Abreu, Bryan",bbox,3,-6.5521,16.6
"Adam, Jason",hull,0,-8.0866,18.7049
"Adam, Jason",hull,1,-16.1336,3.5729
"Adam, Jason",hull,2,1.435,-1.8521
"Adam, Jason",hull,3,15.2974,-3.5765
"Adams, Travis",hull,0,-15.2941,4.8486
"Adams, Travis",hull,1,5.1726,-0.1056
"Adams, Travis",hull,2,4.8722,8.0751
"Adams, Travis",hull,3,-5.28,15.2886
"Adams, Travis",hull,4,-13.7432,6.9292
"Agnos, Zach",hull,0,-10.85,1.9689
"Agnos, Zach",hull,1,9.9181,-4.5893
"Agnos, Zach",hull,2,0.9798,7.2914
"Agnos, Zach",hull,3,-8.1546,14.6988
"Akin, Keegan",hull,0,-3.5905,2.8603
"Akin, Keegan",hull,1,16.8586,8.9977
"Akin, Keegan",hull,2,11.872,17.2095
"Alcala, Jorge",hull,0,-15.0209,11.8765
"Alcala, Jorge",hull,1,3.9688,-4.8302
"Alcala, Jorge",hull,2,3.282,4.9171
"Alcala, Jorge",hull,3,-8.9277,17.7453
"Alcantara, Sandy",hull,0,-17.4816,4.8059
"Alcantara, Sandy",hull,1,2.7612,-1.7396
"Alcantara, Sandy",hull,2,0.9817,4.7437
"Alcantara, Sandy",hull,3,-14.1263,13.1244
"Alcantara, Sandy",hull,4,-17.3452,8.4784
"Aldegheri, Sam",hull,0,-4.2838,-2.7464
"Aldegheri, Sam",hull,1,14.09,9.5833
"Aldegheri, Sam",hull,2,3.8601,16.0985
"Alexander, Jason",hull,0,-17.0936,1.1994
"Alexander, Jason",hull,1,16.3098,-0.2166
"Alexander, Jason",hull,2,-13.6384,11.897
"Alexander, Scott",bbox,0,-3.6111,-2.304
"Alexander, Scott",bbox,1,13.07,-2.304
"Alexander, Scott",bbox,2,13.07,3.2412
"Alexander, Scott",bbox,3,-3.6111,3.2412
"Alexander, Tyler",hull,0,9.2629,15.9426
"Alexander, Tyler",hull,1,-12.3181,4.7865
"Alexander, Tyler",hull,2,14.4813,2.4723
"Alexander, Tyler",hull,3,16.1196,9.332
"Allard, Kolby",hull,0,-7.6145,-13.0964
"Allard, Kolby",hull,1,14.1198,6.2634
"Allard, Kolby",hull,2,13.3423,12.6377
"Allard, Kolby",hull,3,6.1765,16.1898
"Allard, Kolby",hull,4,-4.6831,6.6958
"Allen, Logan",hull,0,6.2645,16.3816
"Allen, Logan",hull,1,-14.2135,0.8064
"Allen, Logan",hull,2,9.8237,5.928
"Allen, Logan",hull,3,13.6378,9.2754
"Altavilla, Dan",hull,0,-16.3347,8.6326
"Altavilla, Dan",hull,1,-15.9398,1.1955
"Altavilla, Dan",hull,2,2.7853,5.2147
"Altavilla, Dan",hull,3,-11.1392,13.9636
"Alvarado, Elvis",hull,0,-16.7015,9.3969
"Alvarado, Elvis",hull,1,-0.8958,5.4632
"Alvarado, Elvis",hull,2,-14.1835,13.6203
"Alvarado, José",bbox,0,-0.9712,6.5232
"Alvarado, José",bbox,1,14.982,6.5232
"Alvarado, José",bbox,2,14.982,12.9558
"Alvarado, José",bbox,3,-0.9712,12.9558
"Alvarez, Andrew",hull,0,3.4403,13.6023
"Alvarez, Andrew",hull,1,-10.7713,-10.7363
"Alvarez, Andrew",hull,2,-2.5557,-3.2965
"Anderson, Grant",hull,0,-17.7576,0.4059
"Anderson, Grant",hull,1,13.9969,2.4732
"Anderson, Grant",hull,2,-12.9306,12.225
"Anderson, Ian",bbox,0,-10.5769,9.7149
"Anderson, Ian",bbox,1,-7.8808,9.7149
"Anderson, Ian",bbox,2,-7.8808,15.0392
"Anderson, Ian",bbox,3,-10.5769,15.0392
"Anderson, Nick",hull,0,-12.5294,5.4494
"Anderson, Nick",hull,1,1.8203,-0.071
"Anderson, Nick",hull,2,-6.1872,15.2959
"Anderson, Shaun",bbox,0,-2.26,4.3666
"Anderson, Shaun",bbox,1,5.8245,4.3666
"Anderson, Shaun",bbox,2,5.8245,15.208
"Anderson, Shaun",bbox,3,-2.26,15.208
"Anderson, Tyler",hull,0,-1.701,13.3592
"Anderson, Tyler",hull,1,13.1503,12.2223
"Anderson, Tyler",hull,2,6.8596,19.4817
"Arias, Luarbert",bbox,0,-9.4495,3.97
"Arias, Luarbert",bbox,1,4.5838,3.97
"Arias, Luarbert",bbox,2,4.5838,16.9383
"Arias, Luarbert",bbox,3,-9.4495,16.9383
"Armstrong, Shawn",hull,0,-5.4353,15.7215
"Armstrong, Shawn",hull,1,-15.4409,10.8727
"Armstrong, Shawn",hull,2,4.2625,9.5808
"Armstrong, Shawn",hull,3,12.4,9.9076
"Arrighetti, Spencer",hull,0,-12.9551,15.0092
"Arrighetti, Spencer",hull,1,-16.8393,9.696
"Arrighetti, Spencer",hull,2,-15.1448,4.1048
"Arrighetti, Spencer",hull,3,16.3148,-7.3977
"Arrighetti, Spencer",hull,4,15.4471,1.6914
"Arrighetti, Spencer",hull,5,3.7772,8.3637
"Ashby, Aaron",hull,0,14.9962,7.3567
"Ashby, Aaron",hull,1,-9.289,-6.8927
"Ashby, Aaron",hull,2,-7.8237,-17.2218
"Ashby, Aaron",hull,3,13.8142,3.8587
"Ashcraft, Braxton",hull,0,-15.5573,8.4096
