player_name,pitch_type,HB,IVB,usage,velo,pitches
"Abbott, Andrew",CH,15.1675,10.2062,0.1965,84.8217,526
"Abbott, Andrew",CU,-8.693,-3.8696,0.1151,80.5646,308
"Abbott, Andrew",FF,9.0829,16.1828,0.4718,92.7834,1263
"Abbott, Andrew",ST,-11.9363,2.4859,0.1737,82.6699,465
"Abel, Mick",CH,-10.1295,3.1048,0.0875,89.1286,63
"Abel, Mick",CU,9.8119,-9.5782,0.2139,82.6617,154
"Abel, Mick",FF,-8.3465,16.1925,0.4208,96.4416,303
"Abel, Mick",SI,-14.9583,9.9309,0.1319,95.4084,95
"Abel, Mick",SL,1.252,1.1147,0.1153,87.3373,83
"Abner, Philip",FF,-2.2569,13.5323,0.7324,90.3577,52
"Abreu, Bryan",FF,-6.5521,16.6,0.4996,97.2963,594
"Abreu, Bryan",SL,8.4371,-6.0869,0.4844,86.4958,576
"Adam, Jason",CH,-16.1336,3.5729,0.3339,88.1642,363
"Adam, Jason",FF,-8.0866,18.7049,0.2272,94.5931,247
"Adam, Jason",SL,1.435,-1.8521,0.3514,83.9484,382
"Adam, Jason",ST,15.2974,-3.5765,0.0846,77.5163,92
"Adams, Travis",CH,-15.2941,4.8486,0.1674,87.3811,111
"Adams, Travis",FC,4.8722,8.0751,0.1855,90.835,123
"Adams, Travis",FF,-5.28,15.2886,0.2941,94.7651,195
"Adams, Travis",SI,-13.7432,6.9292,0.1116,94.0905,74
"Adams, Travis",SL,5.1726,-0.1056,0.2006,85.6233,133
"Agnos, Zach",FC,0.9798,7.2914,0.334,92.6688,176
"Agnos, Zach",FF,-8.1546,14.6988,0.2941,95.8245,155
"Agnos, Zach",FS,-10.85,1.9689,0.2049,86.7463,108
"Agnos, Zach",ST,9.9181,-4.5893,0.1632,84.9907,86
"Akin, Keegan",CH,16.8586,8.9977,0.1994,86.5782,211
"Akin, Keegan",FF,11.872,17.2095,0.5132,93.7136,543
"Akin, Keegan",SL,-3.5905,2.8603,0.2873,85.5645,304
"Alcala, Jorge",CU,3.9688,-4.8302,0.2325,85.3854,246
"Alcala, Jorge",FF,-8.9277,17.7453,0.4641,97.3572,491
"Alcala, Jorge",SI,-15.0209,11.8765,0.1304,96.8254,138
"Alcala, Jorge",SL,3.282,4.9171,0.1541,89.8939,163
"Alcantara, Sandy",CH,-17.4816,4.8059,0.2324,90.4226,672
"Alcantara, Sandy",FC,0.9817,4.7437,0.1667,89.2685,482
"Alcantara, Sandy",FF,-14.1263,13.1244,0.1712,97.7362,495
"Alcantara, Sandy",SI,-17.3452,8.4784,0.2584,97.1436,747
"Alcantara, Sandy",SL,2.7612,-1.7396,0.1712,85.263,495
"Aldegheri, Sam",CH,14.09,9.5833,0.2376,82.1583,72
"Aldegheri, Sam",FF,3.8601,16.0985,0.4719,91.6007,143
"Aldegheri, Sam",SL,-4.2838,-2.7464,0.1749,82.3585,53
"Alexander, Jason",CH,-17.0936,1.1994,0.3275,80.3198,410
"Alexander, Jason",FF,-13.6384,11.897,0.1014,91.9315,127
"Alexander, Jason",SI,-16.5434,1.248,0.3994,90.8838,500
"Alexander, Jason",ST,16.3098,-0.2166,0.1597,78.5025,200
"Alexander, Scott",SI,13.07,3.2412,0.6518,91.2618,204
"Alexander, Scott",SL,-3.6111,-2.304,0.2077,83.1908,65
"Alexander, Tyler",CH,14.4813,2.4723,0.1603,83.339,254
"Alexander, Tyler",FC,-1.2881,9.3666,0.171,86.9351,271
"Alexander, Tyler",FF,9.2629,15.9426,0.2612,90.8121,414
"Alexander, Tyler",SI,16.1196,9.332,0.1836,90.4969,291
"Alexander, Tyler",ST,-12.3181,4.7865,0.224,80.2493,355
"Allard, Kolby",CH,14.1198,6.2634,0.2,81.442,200
"Allard, Kolby",CU,-7.6145,-13.0964,0.132,72.0598,132
"Allard, Kolby",FC,-4.6831,6.6958,0.193,84.8964,193
"Allard, Kolby",FF,6.1765,16.1898,0.389,90.0668,389
"Allard, Kolby",SI,13.3423,12.6377,0.086,90.5907,86
"Allen, Logan",CH,9.8237,5.928,0.1835,82.427,497
"Allen, Logan",FC,-4.2518,6.3824,0.113,85.6797,306
"Allen, Logan",FF,6.2645,16.3816,0.3322,91.2187,900
"Allen, Logan",SI,13.6378,9.2754,0.1351,88.988,366
"Allen, Logan",ST,-14.2135,0.8064,0.2348,78.0715,636
"Altavilla, Dan",CH,-15.9398,1.1955,0.2346,91.7869,107
"Altavilla, Dan",FF,-11.1392,13.9636,0.2654,96.0099,121
"Altavilla, Dan",SI,-16.3347,8.6326,0.25,96.5825,114
"Altavilla, Dan",SL,2.7853,5.2147,0.25,90.6789,114
"Alvarado, Elvis",FF,-14.1835,13.6203,0.4863,98.686,372
"Alvarado, Elvis",SI,-16.7015,9.3969,0.1529,98.2556,117
"Alvarado, Elvis",SL,-0.8958,5.4632,0.3203,88.8976,245
"Alvarado, José",FC,-0.9712,6.5232,0.3042,93.1791,139
"Alvarado, José",SI,14.982,12.9558,0.628,99.0641,287
"Alvarez, Andrew",CU,-10.7713,-10.7363,0.271,82.4558,113
"Alvarez, Andrew",FF,3.4403,13.6023,0.3405,91.2852,142
"Alvarez, Andrew",SL,-2.5557,-3.2965,0.2902,82.381,121
"Anderson, Grant",FF,-12.9306,12.225,0.3294,93.4334,392
"Anderson, Grant",SI,-17.7576,0.4059,0.2504,93.1517,298
"Anderson, Grant",ST,13.9969,2.4732,0.379,80.204,451
"Anderson, Ian",CH,-10.5769,9.7149,0.3498,88.1775,71
"Anderson, Ian",FF,-7.8808,15.0392,0.5123,93.7481,104
