player_name,p_throws
"Abbott, Andrew",L
"Abel, Mick",R
"Abner, Philip",L
"Abreu, Bryan",R
"Acton, Garrett",R
"Adam, Jason",R
"Adams, Travis",R
"Adcock, Ty",R
"Agnos, Zach",R
"Akin, Keegan",L
"Alcala, Jorge",R
"Alcantara, Sandy",R
"Aldegheri, Sam",L
"Alexander, Jason",R
"Alexander, Scott",L
"Alexander, Tyler",L
"Allard, Kolby",L
"Allen, Logan",L
"Altavilla, Dan",R
"Alvarado, Elvis",R
"Alvarado, José",L
"Alvarez, Andrew",L
"Amaya, Jacob",R
"Anderson, Grant",R
"Anderson, Ian",R
"Anderson, Nick",R
"Anderson, Shaun",R
"Anderson, Tyler",L
"Arias, Luarbert",R
"Armstrong, Shawn",R
"Arrighetti, Spencer",R
"Ashby, Aaron",L
"Ashcraft, Braxton",R
"Ashcraft, Graham",R
"Assad, Javier",R
"Avila, Luinder",R
"Bachar, Lake",R
"Bachman, Sam",R
"Backhus, Kyle",L
"Baker, Bryan",R
"Banda, Anthony",L
"Banks, Tanner",L
"Barco, Hunter",L
"Barlow, Scott",R
"Barnes, Jacob",R
"Barnett, Mason",R
"Barnhart, Tucker",R
"Bassitt, Chris",R
"Basso, Brady",L
"Bauers, Jake",L
"Bautista, Félix",R
"Baz, Shane",R
"Bazardo, Eduard",R
"Beck, Tristan",R
"Bednar, David",R
"Beeks, Jalen",L
"Beeter, Clayton",R
"Bello, Brayan",R
"Bellozo, Valente",R
"Bender, Anthony",R
"Bergert, Ryan",R
"Bernardino, Brennan",L
"Berríos, José",R
"Berti, Jon",R
"Bibee, Tanner",R
"Bido, Osvaldo",R
"Bieber, Shane",R
"Bigge, Hunter",R
"Bird, Jake",R
"Birdsong, Hayden",R
"Bivens, Spencer",R
"Black, Mason",R
"Blackburn, Paul",R
"Blalock, Bradley",R
"Blanco, Ronel",R
"Blewett, Scott",R
"Blubaugh, AJ",R
"Bolton, Cody",R
"Booser, Cam",L
"Borucki, Ryan",L
"Boushley, Caleb",R
"Bowden, Ben",L
"Bowlan, Jonathan",R
"Bowman, Matt",R
"Boyd, Matthew",L
"Boyle, Joe",R
"Bradish, Kyle",R
"Bradley, Taj",R
"Brash, Matt",R
"Brasier, Ryan",R
"Brazobán, Huascar",R
"Brebbia, John",R
"Bride, Jonah",R
"Brieske, Beau",R
"Brigham, Jeff",R
"Brogdon, Connor",R
"Brown, Ben",R
"Brown, Hunter",R
"Brown, McCade",R
"Brubaker, JT",R
"Bruihl, Justin",L
"Bruján, Vidal",R
"Brzykcy, Zach",R
"Bubic, Kris",L
"Buehler, Walker",R
"Bummer, Aaron",L
"Burdi, Nick",R
"Burgos, Juan",R
"Burke, Brock",L
"Burke, Sean",R
"Burleson, Alec",L
"Burnes, Corbin",R
"Burns, Chase",R
"Burr, Ryan",R
"Burrows, Mike",R
"Buttó, José",R
"Caballero, José",R
"Cabrera, Edward",R
"Cabrera, Génesis",L
"Cameron, Noah",L
"Campbell, Isaiah",R
"Canning, Griffin",R
"Cannon, Jonathan",R
"Cano, Yennier",R
"Cantillo, Joey",L
"Capra, Vinny",R
"Carrasco, Carlos",R
"Carrillo, Alex",R
"Casparius, Ben",R
"Castaño, Blas",R
"Castillo, José",L
"Castillo, Luis",R
"Castillo, Luis F.",R
"Castro, Miguel",R
"Castro, Willi",R
"Cavalli, Cade",R
"Cease, Dylan",R
"Cecconi, Slade",R
"Chafin, Andrew",L
"Chandler, Bubba",R
"Chapman, Aroldis",L
"Chavez, Jesse",R
"Chivilli, Angel",R
"Church, Marc",R
"Civale, Aaron",R
"Clarke, Taylor",R
"Clase, Emmanuel",R
"Cleavinger, Garrett",L
"Clemens, Kody",R
"Clevinger, Mike",R
"Contreras, Luis",R
"Contreras, Roansy",R
"Corbin, Patrick",L
"Corniell, Jose",R
"Cortes, Nestor",L
"Cosgrove, Tom",L
"Coulombe, Danny",L
"Cox, Austin",L
"Crismatt, Nabil",R
"Criswell, Cooper",R
"Crochet, Garrett",L
"Cruz, Fernando",R
"Cruz, Omar",L
"Cruz, Steven",R
"Curry, Xzavion",R
