player_name,season,p_throws,total_pitches,release_x,release_z,extension,avg_velo,map_x,map_y
"Abbott, Andrew",2024,L,2333.0,1.6992741199999997,5.8627100400000005,6.60598846,88.26100722,0.9642012972684733,-0.10849832332945214
"Abreu, Bryan",2024,R,1318.0,-2.21288647,5.75019583,6.514437839999999,91.11804683,-0.9229497180688588,0.2913642980067583
"Adam, Jason",2024,R,1192.0,-1.1427399260073992,6.151437746225378,6.520970752924708,88.8374387961204,0.03076467458570351,0.42298211502453575
"Adams, Austin",2024,R,805.0,-3.54024414,5.18764341,5.806956769999999,89.18003428,-0.3612957863160734,-0.465164556608668
"Aguiar, Julian",2024,R,530.0,-2.2720340500000002,5.524218800000001,5.942463030000001,88.35172578,0.2027606894995163,-0.21184257438011314
"Akin, Keegan",2024,L,1254.0,2.16525652,5.914044250000001,5.83628735,90.21250052,1.6581678803624718,0.9240301219698803
"Alcala, Jorge",2024,R,913.0,-2.0373073699999997,6.52750146,5.91485888,94.11945363,-0.5088244411338165,2.472608613258324
"Aldegheri, Sam",2024,L,222.0,1.94992603,6.03285996,5.67384512,87.48713279,2.351106785226033,0.6397696414772907
"Alexander, Scott",2024,L,566.0,1.3808216421642165,5.721424492449245,6.166087288728872,88.98458160816082,1.176560449231925,0.1376623725892776
"Alexander, Tyler",2024,L,1668.0,1.49583784,5.638562530000001,6.202154480000001,84.76089114000001,1.9884840124525305,-0.8831818540312514
"Allard, Kolby",2024,L,436.0,1.7837238100000004,5.53270065,6.046117430000001,84.89418664,2.213064555670211,-0.8930154706089117
"Allen, Logan",2024,L,2135.0,1.7568062406240625,5.5282695169516956,6.308433693369337,86.09730460046005,1.6562365289579515,-0.8345283281952636
"Almonte, Yency",2024,R,267.0,-1.41636631,5.8313967600000005,6.6345886,89.09678262,-0.35270779442683603,-0.07563405054109655
"Alvarado, José",2024,L,1061.0,1.0311995299529952,6.647011321132113,6.838402870287029,95.70831878187819,-0.7758092147789655,2.4015198958870014
"Alzolay, Adbert",2024,R,329.0,-1.3362072900000002,6.245785420000001,6.47050237,90.65520464000001,-0.3103049878188901,0.9688803033704179
"Anderson, Chase",2024,R,1016.0,-1.4040019498050194,5.749219528047195,5.820282371762824,86.44324458554144,1.1050845866534342,-0.17393618926532403
"Anderson, Grant",2024,R,483.0,-2.607526297370263,4.157441775822418,6.359827377262274,87.59864235576443,-0.6896258133425646,-2.660076772079109
"Anderson, Justin",2024,R,945.0,-2.6125335400000003,5.67995181,6.720741780000001,90.84609997,-1.2744945413116266,-0.022083344960649877
"Anderson, Nick",2024,R,573.0,-0.85437101,6.42201798,6.019873819999999,88.44855082999999,0.8825273430592142,1.0953920729636184
"Anderson, Shaun",2024,R,244.0,-1.8361981103779246,6.058707068586283,6.829924235152969,88.11461825634872,-0.46275513257772166,-0.09613203051571788
"Anderson, Tyler",2024,L,2914.0,1.41612644,6.404215880000001,6.09561576,84.41508593,2.397060555977469,0.23287279335160824
