player_name,comp_player_name,rank,physical_distance
"Abbott, Andrew","Castillo, José",1,0.3388187031832864
"Abbott, Andrew","Herrin, Tim",2,0.5598271639828005
"Abbott, Andrew","Rolison, Ryan",3,0.5946410326787861
"Abbott, Andrew","Povich, Cade",4,0.6241768665608469
"Abbott, Andrew","Waddell, Brandon",5,0.6352134512910684
"Abbott, Andrew","Seymour, Ian",6,0.643714533804852
"Abbott, Andrew","Lucchesi, Joey",7,0.6593398968227879
"Abbott, Andrew","Fried, Max",8,0.6788326152096416
"Abbott, Andrew","Detmers, Reid",9,0.6839005441506227
"Abbott, Andrew","Dodd, Dylan",10,0.7134085267858987
"Abel, Mick","Leiter, Jack",1,0.2444363180327337
"Abel, Mick","Pagán, Emilio",2,0.24668481668847672
"Abel, Mick","Rocker, Kumar",3,0.3201950853711303
"Abel, Mick","Salazar, Eduardo",4,0.34068895409213196
"Abel, Mick","Smith, Shane",5,0.376338701276665
"Abel, Mick","Armstrong, Shawn",6,0.38422850655424307
"Abel, Mick","Houser, Adrian",7,0.4310871815878188
"Abel, Mick","Finnegan, Kyle",8,0.46448347006599733
"Abel, Mick","Ginn, J.T.",9,0.48928536738755385
"Abel, Mick","Ross, Joe",10,0.5054493222342368
"Abreu, Bryan","Hoffman, Jeff",1,0.23048869246397893
"Abreu, Bryan","Rodríguez, Randy",2,0.29336557357473697
"Abreu, Bryan","Finnegan, Kyle",3,0.3699229688598174
"Abreu, Bryan","Kirby, George",4,0.3834198067804628
"Abreu, Bryan","Skenes, Paul",5,0.4116937412772322
"Abreu, Bryan","Ohtani, Shohei",6,0.4479747099920342
"Abreu, Bryan","Salazar, Eduardo",7,0.5134082078032169
"Abreu, Bryan","Matthews, Zebby",8,0.5352493071822448
"Abreu, Bryan","Svanson, Matt",9,0.549511889920912
"Abreu, Bryan","Holderman, Colin",10,0.5657386910994779
"Adam, Jason","Quantrill, Cal",1,0.31042008516851805
"Adam, Jason","Waldrep, Hurston",2,0.5964802533336774
"Adam, Jason","Giolito, Lucas",3,0.6537824371100874
"Adam, Jason","Blalock, Bradley",4,0.7274975318604125
"Adam, Jason","Burrows, Mike",5,0.7415662826512667
"Adam, Jason","Elder, Bryce",6,0.7443471859080077
"Adam, Jason","Littell, Zack",7,0.7571727198014142
"Adam, Jason","Woods Richardson, Simeon",8,0.7596757592896267
"Adam, Jason","Mikolas, Miles",9,0.8077802927543122
"Adam, Jason","Merryweather, Julian",10,0.8328546373542689
"Adams, Travis","Bido, Osvaldo",1,0.3115157500119299
"Adams, Travis","Santana, Dennis",2,0.313362411135582
"Adams, Travis","Blackburn, Paul",3,0.325702212037924
"Adams, Travis","Fernandez, Ryan",4,0.37580029402025195
"Adams, Travis","Vasil, Mike",5,0.38264389648105557
"Adams, Travis","Horton, Cade",6,0.40272834735857926
"Adams, Travis","Englert, Mason",7,0.43853277293209414
"Adams, Travis","Rodríguez, Yariel",8,0.4504955856429598
"Adams, Travis","Cannon, Jonathan",9,0.45887603151469636
"Adams, Travis","Mazur, Adam",10,0.5413174266842192
"Agnos, Zach","Alcantara, Sandy",1,0.15555044143075003
"Agnos, Zach","Hernández, Daysbel",2,0.2382925461166426
"Agnos, Zach","Mejia, Juan",3,0.3119808698833032
"Agnos, Zach","Jobe, Jackson",4,0.34467080353930973
"Agnos, Zach","Phillips, Connor",5,0.402008369121185
"Agnos, Zach","Schultz, Paxton",6,0.4285074970170315
"Agnos, Zach","Boushley, Caleb",7,0.45920696402396743
"Agnos, Zach","Hill, Jaden",8,0.5012199087690082
"Agnos, Zach","Morales, Luis",9,0.5051837257432377
"Agnos, Zach","Estévez, Carlos",10,0.5175830241780988
"Akin, Keegan","Little, Brendon",1,0.4317429668834995
"Akin, Keegan","Luzardo, Jesús",2,0.4889758806853207
"Akin, Keegan","Newcomb, Sean",3,0.5906181608092101
"Akin, Keegan","Pomeranz, Drew",4,0.7672934143304131
"Akin, Keegan","Cabrera, Génesis",5,0.783075194447778
"Akin, Keegan","Cortes, Nestor",6,0.8016636121661949
"Akin, Keegan","King, John",7,0.8303918257262641
"Akin, Keegan","Valdez, Framber",8,0.9208554305220772
"Akin, Keegan","Weathers, Ryan",9,0.9590511946947091
"Akin, Keegan","Matsui, Yuki",10,1.0012851658464945
"Alcala, Jorge","Keller, Brad",1,0.6070634978273317
"Alcala, Jorge","Fermin, José",2,0.9858680491626726
"Alcala, Jorge","Stanek, Ryne",3,1.0537638741593744
"Alcala, Jorge","Brubaker, JT",4,1.078749522817302
"Alcala, Jorge","Brieske, Beau",5,1.115559394467919
"Alcala, Jorge","Beeter, Clayton",6,1.1658290860161034
"Alcala, Jorge","Hiraldo, Yaramil",7,1.2780975352066635
"Alcala, Jorge","Montas, Frankie",8,1.29957755685188
"Alcala, Jorge","Schlittler, Cam",9,1.3382871985918259
"Alcala, Jorge","Ashcraft, Braxton",10,1.3895544198612482
"Alcantara, Sandy","Agnos, Zach",1,0.15555044143075003
"Alcantara, Sandy","Hernández, Daysbel",2,0.15749578942739023
"Alcantara, Sandy","Mejia, Juan",3,0.29138531243628063
"Alcantara, Sandy","Jobe, Jackson",4,0.38399465263060406
"Alcantara, Sandy","Phillips, Connor",5,0.38821431733434636
"Alcantara, Sandy","Boushley, Caleb",6,0.4628726203484611
"Alcantara, Sandy","Beeter, Clayton",7,0.4817525429570145
"Alcantara, Sandy","Schultz, Paxton",8,0.509163782296517
"Alcantara, Sandy","Faucher, Calvin",9,0.5401361393941865
"Alcantara, Sandy","Estévez, Carlos",10,0.5916451530496595
"Alexander, Jason","Eflin, Zach",1,0.5185764264345472
"Alexander, Jason","Bassitt, Chris",2,0.5339761001722098
"Alexander, Jason","Roupp, Landen",3,0.7415501613963208
"Alexander, Jason","Darvish, Yu",4,0.7426578046482927
"Alexander, Jason","Barlow, Scott",5,0.7588202563682123
"Alexander, Jason","Leiter Jr., Mark",6,0.7592366656494632
"Alexander, Jason","Flaherty, Jack",7,0.807628139710216
"Alexander, Jason","Gray, Sonny",8,0.8087901986035717
"Alexander, Jason","Kahnle, Tommy",9,0.9069093560754713
"Alexander, Jason","Wilson, Steven",10,0.9110288706450835
"Alexander, Scott","Banda, Anthony",1,0.6301651674840115
"Alexander, Scott","Messick, Parker",2,0.6765511831295005
"Alexander, Scott","Rodriguez, Eduardo",3,0.8619596708696599
"Alexander, Scott","King, John",4,0.8765146875642268
"Alexander, Scott","Koenig, Jared",5,0.8823607088613376
"Alexander, Scott","Ferguson, Caleb",6,0.910913930537089
"Alexander, Scott","Speier, Gabe",7,0.9482721574446229
"Alexander, Scott","Pérez, Cionel",8,0.952427950486681
"Alexander, Scott","Beeks, Jalen",9,0.9722962254932883
"Alexander, Scott","Soto, Gregory",10,0.979382083107178
"Alexander, Tyler","Murphy, Chris",1,0.21643783056957186
"Alexander, Tyler","Imanaga, Shota",2,0.36680222950808633
"Alexander, Tyler","Boyd, Matthew",3,0.4017223100211567
"Alexander, Tyler","Allen, Logan",4,0.584129834593527
"Alexander, Tyler","Hart, Kyle",5,0.5929645398415607
"Alexander, Tyler","Bummer, Aaron",6,0.6152867276969318
"Alexander, Tyler","Allard, Kolby",7,0.735692807899775
"Alexander, Tyler","Strahm, Matt",8,0.7406772508201872
"Alexander, Tyler","Pérez, Martín",9,0.7883441446304886
"Alexander, Tyler","Walter, Brandon",10,0.8668524555739703
"Allard, Kolby","Boyd, Matthew",1,0.531001549632961
"Allard, Kolby","Murphy, Chris",2,0.5733290507217863
"Allard, Kolby","Allen, Logan",3,0.6549584725132779
"Allard, Kolby","Ogasawara, Shinnosuke",4,0.7077059693046345
