player_name,pitcher,pitch_type,pitches_vs_same,pitches_vs_opposite,score_vs_same,score_vs_opposite,confidence_vs_same,confidence_vs_opposite,trusted_score_vs_same,trusted_score_vs_opposite,platoon_gap,platoon_gap_abs,weaker_side
"Sánchez, Cristopher",650911,SI,106.0,289.0,66.70644391408115,3.579952267303103,70.66666666666667,100.0,61.14589098043438,3.579952267303103,-57.565938713131274,57.565938713131274,opposite
"Warren, Will",701542,FF,105.0,192.0,76.84964200477327,13.842482100238662,70.0,100.0,68.11975344088144,13.842482100238662,-54.27727134064278,54.27727134064278,opposite
"Castillo, Luis",622491,FF,159.0,200.0,58.94988066825776,11.336515513126491,100.0,100.0,58.94988066825776,11.336515513126491,-47.61336515513127,47.61336515513127,opposite
"Morejon, Adrian",670970,SI,92.0,99.0,91.64677804295943,18.377088305489263,61.33333333333333,66.0,74.67336240362242,28.36388285750175,-46.30947954612067,46.30947954612067,opposite
"Corbin, Patrick",571578,SI,86.0,158.0,44.272076372315034,2.983293556085919,57.333333333333336,100.0,45.75599619573995,2.983293556085919,-42.77270263965403,42.77270263965403,opposite
"Hill, Tim",657612,SI,114.0,114.0,63.0071599045346,6.801909307875895,76.0,76.0,59.34544475747842,16.629454304017802,-42.71599045346062,42.71599045346062,opposite
"Skubal, Tarik",669373,CH,31.0,250.0,98.09069212410502,98.68735083532219,20.666666666666668,100.0,58.15375371603233,98.68735083532219,40.533597119289865,40.533597119289865,same
"Kikuchi, Yusei",579328,SL,91.0,203.0,68.97374701670644,20.644391408114558,60.66666666666667,100.0,60.62574515046566,20.644391408114558,-39.981353742351104,39.981353742351104,opposite
"Ferrer, José A.",678606,SI,81.0,119.0,66.70644391408115,10.739856801909307,54.0,79.33333333333333,57.98648590449872,18.388622510931263,-39.59786339356746,39.59786339356746,opposite
"Sánchez, Cristopher",650911,CH,33.0,308.0,99.88066825775657,98.56801909307876,22.0,100.0,59.21875751431084,98.56801909307876,39.34926157876792,39.34926157876792,same
"Crochet, Garrett",676979,ST,33.0,144.0,99.28400954653938,99.64200477326969,22.0,96.0,59.08749259784306,97.56632512067759,38.47883252283453,38.47883252283453,same
"Valdez, Framber",664285,CU,36.0,234.0,99.0453460620525,96.4200477326969,24.0,100.0,60.06089328332765,96.4200477326969,36.35915444936925,36.35915444936925,same
"Kirby, George",669923,FF,73.0,99.0,94.74940334128878,27.565632458233893,48.66666666666667,66.0,70.62304986810703,34.42832199831321,-36.19472786979382,36.19472786979382,opposite
"Rodríguez, Yariel",684320,SL,107.0,31.0,92.24343675417661,30.071599045346066,71.33333333333334,20.666666666666668,79.48865540940658,44.09647447975548,-35.3921809296511,35.3921809296511,opposite
"Springs, Jeffrey",605488,FF,62.0,213.0,50.11933174224343,13.484486873508352,41.333333333333336,100.0,48.729331682428025,13.484486873508352,-35.24484480891967,35.24484480891967,opposite
"Freeland, Kyle",607536,FF,40.0,205.0,5.13126491646778,1.431980906921241,26.666666666666668,100.0,36.38501384726734,1.431980906921241,-34.9530329403461,34.9530329403461,opposite
"Valdez, Framber",664285,SI,94.0,285.0,30.310262529832936,2.983293556085919,62.66666666666667,100.0,36.82110287652305,2.983293556085919,-33.83780932043713,33.83780932043713,opposite
"Williams, Gavin",668909,CU,31.0,125.0,84.00954653937947,96.89737470167064,20.666666666666668,83.33333333333334,55.24365029518905,88.7061478278034,33.46249753261436,33.46249753261436,same
"Mikolas, Miles",571945,FF,58.0,101.0,51.07398568019092,0.7159904534606205,38.666666666666664,67.33333333333333,49.03528271753369,16.08043796842943,-32.95484474910426,32.95484474910426,opposite
"Kirby, George",669923,ST,81.0,79.0,29.713603818615752,91.76610978520287,54.0,52.666666666666664,38.0103522529474,70.93182419054797,32.92147193760057,32.92147193760057,same
"Ashby, Aaron",676879,SI,58.0,88.0,68.97374701670644,5.847255369928401,38.666666666666664,58.666666666666664,55.95652376765302,23.167062046524425,-32.78946172112859,32.78946172112859,opposite
"Peterson, David",656849,SI,78.0,140.0,26.25298329355609,1.5513126491646778,52.0,93.33333333333333,36.57155777271341,4.631226036451515,-31.940331736261896,31.940331736261896,opposite
"Suarez, Robert",663158,FF,91.0,87.0,66.82577565632458,12.649164677804295,60.66666666666667,57.99999999999999,59.32264252516733,27.391521165682704,-31.931121359484628,31.931121359484628,opposite
"Sale, Chris",519242,SL,51.0,205.0,99.64200477326969,96.77804295942721,34.0,100.0,65.39329050550003,96.77804295942721,31.384752453927177,31.384752453927177,same
"Irvin, Jake",663623,FF,77.0,171.0,21.121718377088307,2.983293556085919,51.33333333333333,100.0,34.08082198335936,2.983293556085919,-31.09752842727344,31.09752842727344,opposite
"Greene, Hunter",668881,FF,123.0,120.0,63.961813842482094,25.53699284009546,82.0,80.0,61.043689773359404,29.979596963769804,-31.0640928095896,31.0640928095896,opposite
"Dollander, Chase",801403,FF,83.0,125.0,40.453460620525064,6.801909307875895,55.333333333333336,83.33333333333334,43.71258755480587,13.626593332974434,-30.085994221831438,30.085994221831438,opposite
"Gore, MacKenzie",669022,FF,66.0,242.0,30.071599045346066,9.904534606205251,44.0,100.0,39.97151111669389,9.904534606205251,-30.066976510488637,30.066976510488637,opposite
