player_name,pitch_type,release_pos_x,release_pos_z
"Abbott, Andrew",CH,2.72,6.05
"Abbott, Andrew",CH,2.91,6.06
"Abbott, Andrew",CH,2.4,5.99
"Abbott, Andrew",CH,2.77,5.97
"Abbott, Andrew",CH,2.37,6.02
"Abbott, Andrew",CH,2.82,6.07
"Abbott, Andrew",CH,2.83,6.0
"Abbott, Andrew",CH,2.52,5.9
"Abbott, Andrew",CH,2.52,6.04
"Abbott, Andrew",CH,2.38,6.02
"Abbott, Andrew",CH,2.42,6.11
"Abbott, Andrew",CH,2.73,5.9
"Abbott, Andrew",CH,2.61,5.96
"Abbott, Andrew",CH,2.61,6.14
"Abbott, Andrew",CH,2.41,5.83
"Abbott, Andrew",CH,2.33,6.05
"Abbott, Andrew",CH,2.18,6.01
"Abbott, Andrew",CH,2.43,5.99
"Abbott, Andrew",CH,2.74,6.11
"Abbott, Andrew",CH,2.3,6.1
"Abbott, Andrew",CH,2.54,6.13
"Abbott, Andrew",CH,2.7,5.91
"Abbott, Andrew",CH,2.79,6.06
"Abbott, Andrew",CH,2.49,6.03
"Abbott, Andrew",CH,2.71,6.18
"Abbott, Andrew",CH,2.91,6.09
"Abbott, Andrew",CH,2.93,6.03
"Abbott, Andrew",CH,2.62,5.92
"Abbott, Andrew",CH,2.59,6.13
"Abbott, Andrew",CH,2.51,5.8
"Abbott, Andrew",CH,2.65,5.95
"Abbott, Andrew",CH,2.29,5.99
"Abbott, Andrew",CH,2.75,5.95
"Abbott, Andrew",CH,2.64,5.91
"Abbott, Andrew",CH,2.35,6.25
"Abbott, Andrew",CH,2.34,6.04
"Abbott, Andrew",CH,2.64,6.07
"Abbott, Andrew",CH,2.4,6.14
"Abbott, Andrew",CH,2.45,6.07
"Abbott, Andrew",CH,2.47,6.1
"Abbott, Andrew",CH,2.55,6.06
"Abbott, Andrew",CH,2.48,6.03
"Abbott, Andrew",CH,2.53,6.1
"Abbott, Andrew",CH,2.43,6.07
"Abbott, Andrew",CH,2.59,5.96
"Abbott, Andrew",CH,2.62,6.15
"Abbott, Andrew",CH,2.57,6.13
"Abbott, Andrew",CH,2.77,5.94
"Abbott, Andrew",CH,2.64,6.06
"Abbott, Andrew",CH,2.44,6.01
"Abbott, Andrew",CH,2.62,6.08
"Abbott, Andrew",CH,2.33,5.97
"Abbott, Andrew",CH,2.92,6.17
"Abbott, Andrew",CH,2.63,5.91
"Abbott, Andrew",CH,2.67,6.01
"Abbott, Andrew",CH,2.78,6.15
"Abbott, Andrew",CH,2.39,6.0
"Abbott, Andrew",CH,2.68,5.91
"Abbott, Andrew",CH,2.4,5.89
"Abbott, Andrew",CH,2.45,5.93
"Abbott, Andrew",CH,2.64,6.04
"Abbott, Andrew",CH,2.5,5.92
"Abbott, Andrew",CH,2.59,5.95
"Abbott, Andrew",CH,2.57,5.93
"Abbott, Andrew",CH,2.47,6.26
"Abbott, Andrew",CH,2.84,6.09
"Abbott, Andrew",CH,2.13,6.09
"Abbott, Andrew",CH,2.45,6.1
"Abbott, Andrew",CH,2.6,6.17
"Abbott, Andrew",CH,2.73,6.14
"Abbott, Andrew",CH,2.32,6.04
"Abbott, Andrew",CH,2.54,5.96
"Abbott, Andrew",CH,2.72,6.1
"Abbott, Andrew",CH,2.28,5.99
"Abbott, Andrew",CH,2.44,6.06
"Abbott, Andrew",CH,2.4,6.12
"Abbott, Andrew",CH,2.2,5.99
"Abbott, Andrew",CH,2.49,6.14
"Abbott, Andrew",CH,2.55,6.02
"Abbott, Andrew",CH,2.27,6.07
"Abbott, Andrew",CH,2.53,6.06
"Abbott, Andrew",CH,2.71,5.9
"Abbott, Andrew",CH,2.55,5.9
"Abbott, Andrew",CH,2.71,5.99
"Abbott, Andrew",CH,2.31,6.04
"Abbott, Andrew",CH,2.7,6.16
"Abbott, Andrew",CH,2.2,6.14
"Abbott, Andrew",CH,2.75,5.92
"Abbott, Andrew",CH,2.65,5.96
"Abbott, Andrew",CH,2.13,6.01
"Abbott, Andrew",CH,2.57,5.89
"Abbott, Andrew",CH,2.38,6.01
"Abbott, Andrew",CH,2.54,5.91
"Abbott, Andrew",CH,2.47,6.05
"Abbott, Andrew",CH,2.44,6.1
"Abbott, Andrew",CH,2.77,6.04
"Abbott, Andrew",CH,2.77,6.07
"Abbott, Andrew",CH,2.51,6.03
"Abbott, Andrew",CH,2.6,6.08
"Abbott, Andrew",CH,2.8,6.02
"Abbott, Andrew",CH,2.73,6.09
"Abbott, Andrew",CH,2.72,5.91
"Abbott, Andrew",CH,2.49,6.06
"Abbott, Andrew",CH,2.79,6.13
"Abbott, Andrew",CH,2.41,5.91
"Abbott, Andrew",CH,2.84,6.07
"Abbott, Andrew",CH,2.43,6.14
"Abbott, Andrew",CH,2.48,5.97
"Abbott, Andrew",CH,2.82,6.1
"Abbott, Andrew",CH,2.71,6.07
"Abbott, Andrew",CH,2.71,5.85
"Abbott, Andrew",CH,2.55,5.98
"Abbott, Andrew",CH,2.63,5.99
"Abbott, Andrew",CH,2.61,6.04
"Abbott, Andrew",CH,2.73,6.27
"Abbott, Andrew",CH,2.72,6.07
"Abbott, Andrew",CH,2.74,6.11
"Abbott, Andrew",CH,2.29,6.06
"Abbott, Andrew",CH,2.71,6.1
"Abbott, Andrew",CH,2.66,6.05
"Abbott, Andrew",CH,2.65,6.15
"Abbott, Andrew",CH,2.64,6.09
"Abbott, Andrew",CH,2.63,5.95
"Abbott, Andrew",CH,2.72,6.16
"Abbott, Andrew",CH,2.81,6.05
"Abbott, Andrew",CH,2.72,5.93
"Abbott, Andrew",CH,2.46,6.0
"Abbott, Andrew",CH,2.46,6.14
"Abbott, Andrew",CH,2.51,6.09
"Abbott, Andrew",CH,2.69,6.04
"Abbott, Andrew",CH,2.54,6.01
"Abbott, Andrew",CH,2.16,6.15
"Abbott, Andrew",CH,2.55,5.97
"Abbott, Andrew",CH,2.34,6.05
"Abbott, Andrew",CH,2.6,5.85
"Abbott, Andrew",CH,2.39,6.02
"Abbott, Andrew",CH,2.57,5.9
"Abbott, Andrew",CH,2.64,5.98
"Abbott, Andrew",CH,2.43,6.09
"Abbott, Andrew",CH,2.5,6.03
"Abbott, Andrew",CH,2.29,6.02
"Abbott, Andrew",CH,2.84,5.96
"Abbott, Andrew",CH,2.73,6.05
"Abbott, Andrew",CH,2.72,6.06
"Abbott, Andrew",CH,2.93,6.04
"Abbott, Andrew",CH,2.47,6.09
"Abbott, Andrew",CH,2.67,6.03
"Abbott, Andrew",CH,2.19,6.1
"Abbott, Andrew",CH,2.41,6.04
"Abbott, Andrew",CH,2.74,6.04
"Abbott, Andrew",CH,2.69,5.88
"Abbott, Andrew",CH,2.7,6.07
"Abbott, Andrew",CH,2.5,6.12
"Abbott, Andrew",CH,2.74,5.99
"Abbott, Andrew",CH,2.38,6.1
"Abbott, Andrew",CH,2.34,6.05
"Abbott, Andrew",CH,2.71,6.13
"Abbott, Andrew",CH,2.39,6.21
"Abbott, Andrew",CH,2.7,5.97
"Abbott, Andrew",CH,2.76,5.89
"Abbott, Andrew",CH,2.43,6.02
"Abbott, Andrew",CH,2.58,6.21
"Abbott, Andrew",CH,2.77,6.02
"Abbott, Andrew",CH,2.25,6.18
"Abbott, Andrew",CH,2.57,6.12
"Abbott, Andrew",CH,2.62,5.96
"Abbott, Andrew",CH,2.76,5.98
"Abbott, Andrew",CH,2.43,6.04
"Abbott, Andrew",CH,2.46,6.02
"Abbott, Andrew",CH,2.57,6.02
"Abbott, Andrew",CH,2.57,5.93
"Abbott, Andrew",CH,2.76,6.06
"Abbott, Andrew",CH,2.2,6.1
"Abbott, Andrew",CH,2.6,5.92
"Abbott, Andrew",CH,2.69,6.06
"Abbott, Andrew",CH,2.42,6.1
"Abbott, Andrew",CH,2.48,5.94
"Abbott, Andrew",CH,2.43,5.86
"Abbott, Andrew",CH,2.5,6.11
"Abbott, Andrew",CH,2.4,5.99
"Abbott, Andrew",CH,2.61,6.13
"Abbott, Andrew",CH,2.67,6.13
"Abbott, Andrew",CH,2.28,6.05
"Abbott, Andrew",CH,2.54,5.79
"Abbott, Andrew",CH,2.68,6.11
"Abbott, Andrew",CH,2.13,6.18
"Abbott, Andrew",CH,2.33,6.0
"Abbott, Andrew",CH,2.8,5.95
"Abbott, Andrew",CH,2.51,5.91
"Abbott, Andrew",CH,2.52,5.99
"Abbott, Andrew",CH,2.07,6.05
"Abbott, Andrew",CH,2.24,6.03
"Abbott, Andrew",CH,2.58,5.91
"Abbott, Andrew",CH,2.42,6.09
"Abbott, Andrew",CH,2.45,6.13
"Abbott, Andrew",CH,2.6,6.14
"Abbott, Andrew",CH,2.55,6.06
"Abbott, Andrew",CH,2.77,6.0
"Abbott, Andrew",CH,2.56,6.02
"Abbott, Andrew",CH,2.42,6.19
"Abbott, Andrew",CH,2.66,5.99
"Abbott, Andrew",CH,2.59,5.93
"Abbott, Andrew",CH,2.8,6.13
"Abbott, Andrew",CH,2.51,5.96
"Abbott, Andrew",CH,2.57,6.17
"Abbott, Andrew",CH,2.36,6.08
"Abbott, Andrew",CH,2.66,5.97
"Abbott, Andrew",CH,2.44,6.06
"Abbott, Andrew",CH,2.7,5.94
"Abbott, Andrew",CH,2.33,6.18
"Abbott, Andrew",CH,2.59,6.02
"Abbott, Andrew",CH,2.59,6.0
"Abbott, Andrew",CH,2.65,6.03
"Abbott, Andrew",CH,2.7,5.99
"Abbott, Andrew",CH,2.96,5.92
"Abbott, Andrew",CH,2.63,5.92
"Abbott, Andrew",CH,2.58,6.04
"Abbott, Andrew",CH,2.39,6.18
"Abbott, Andrew",CH,2.43,6.02
"Abbott, Andrew",CH,2.58,6.12
"Abbott, Andrew",CH,2.21,6.08
"Abbott, Andrew",CH,2.51,6.13
"Abbott, Andrew",CH,2.35,6.0
"Abbott, Andrew",CH,2.63,6.05
"Abbott, Andrew",CH,2.59,6.05
"Abbott, Andrew",CH,2.64,6.01
"Abbott, Andrew",CH,2.62,5.99
"Abbott, Andrew",CH,2.39,6.01
"Abbott, Andrew",CH,2.52,6.18
"Abbott, Andrew",CH,2.63,5.96
"Abbott, Andrew",CH,2.45,6.06
"Abbott, Andrew",CH,2.59,5.97
"Abbott, Andrew",CH,2.85,5.95
"Abbott, Andrew",CH,2.43,6.02
"Abbott, Andrew",CH,2.69,6.03
"Abbott, Andrew",CH,2.56,6.06
"Abbott, Andrew",CH,2.65,5.87
"Abbott, Andrew",CH,2.55,6.16
"Abbott, Andrew",CH,2.87,6.11
"Abbott, Andrew",CH,2.59,5.91
"Abbott, Andrew",CH,2.7,6.06
"Abbott, Andrew",CH,2.56,5.98
"Abbott, Andrew",CH,2.62,6.17
"Abbott, Andrew",CH,2.55,6.1
"Abbott, Andrew",CH,2.73,6.01
"Abbott, Andrew",CH,2.71,6.1
"Abbott, Andrew",CH,2.71,5.96
"Abbott, Andrew",CH,2.63,6.13
"Abbott, Andrew",CH,2.69,6.19
"Abbott, Andrew",CH,2.76,6.05
"Abbott, Andrew",CU,2.43,6.07
"Abbott, Andrew",CU,2.19,6.19
"Abbott, Andrew",CU,2.29,6.24
"Abbott, Andrew",CU,2.17,6.15
"Abbott, Andrew",CU,2.21,6.15
"Abbott, Andrew",CU,2.14,6.3
"Abbott, Andrew",CU,2.44,6.15
