player_name,change_type,pitch_type,comp_rank,comp_player_name,comp_season_from,comp_season_to,comp_usage_before,comp_usage_after,comp_dropped_pitch_type,comp_added_pitch_type,similarity_weight
"Verlander, Justin",USAGE_INCREASE,ST,1,drew verhagen,2022,2023,20.64,30.52,,,0.8886749177125061
"Verlander, Justin",USAGE_INCREASE,ST,2,nick pivetta,2023,2024,5.23,26.12,,,0.8824520709348181
"Verlander, Justin",USAGE_INCREASE,ST,3,jonathan heasley,2023,2024,23.53,33.06,,,0.7985328199583788
"Verlander, Justin",USAGE_INCREASE,ST,4,jordan lyles,2021,2022,13.83,23.96,,,0.7770052368868905
"Verlander, Justin",USAGE_INCREASE,ST,5,kutter crawford,2023,2024,6.72,18.49,,,0.772369549750334
"Verlander, Justin",ADD,FS,1,aaron civale,2020,2021,0.0,13.37,,,0.9095431744781186
"Verlander, Justin",ADD,FS,2,simeon woods richardson,2024,2025,0.0,14.99,,,0.8874041619417128
"Verlander, Justin",ADD,FS,3,dean kremer,2023,2024,0.45,18.47,,,0.8619728128701778
"Verlander, Justin",ADD,FS,4,aaron civale,2024,2025,1.98,5.77,,,0.861701567135096
"Verlander, Justin",ADD,FS,5,tylor megill,2023,2024,0.46,7.88,,,0.8549087348888883
"Verlander, Justin",USAGE_INCREASE,SL,1,hunter gaddis,2023,2024,31.68,44.45,,,0.8809933231268079
"Verlander, Justin",USAGE_INCREASE,SL,2,jason adam,2024,2025,18.78,35.59,,,0.8671986107487418
"Verlander, Justin",USAGE_INCREASE,SL,3,yariel rodríguez,2024,2025,28.41,41.5,,,0.8529762442153395
"Verlander, Justin",USAGE_INCREASE,SL,4,garrett richards,2021,2022,27.42,37.71,,,0.8524670666935029
"Verlander, Justin",USAGE_INCREASE,SL,5,hunter strickland,2024,2025,13.65,32.61,,,0.8437786354859776
"Verlander, Justin",ADD,SI,1,tanner bibee,2024,2025,1.35,18.08,,,0.8905862250122507
"Verlander, Justin",ADD,SI,2,davis martin,2024,2025,0.0,14.31,,,0.8638596850016554
"Verlander, Justin",ADD,SI,3,brandon bielak,2020,2021,0.0,15.36,,,0.8563578083625488
"Verlander, Justin",ADD,SI,4,chris paddack,2024,2025,0.0,5.32,,,0.8415781477965847
"Verlander, Justin",ADD,SI,5,michael wacha,2021,2022,4.21,13.13,,,0.8400674793586328
"Verlander, Justin",DROP,CH,1,aaron civale,2020,2021,9.16,0.0,,,0.846818658475073
"Verlander, Justin",DROP,CH,2,dean kremer,2023,2024,11.86,0.0,,,0.8295407276097213
"Verlander, Justin",DROP,CH,3,ryne nelson,2024,2025,9.76,1.85,,,0.8274179540747442
"Verlander, Justin",DROP,CH,4,joe musgrove,2020,2021,10.7,4.83,,,0.8244617868624022
"Verlander, Justin",DROP,CH,5,miles mikolas,2021,2022,7.19,4.0,,,0.8098503668439262
"Verlander, Justin",DROP,CU,1,nick pivetta,2020,2021,6.21,3.73,,,0.7898240351133703
"Verlander, Justin",DROP,CU,2,taylor clarke,2020,2021,10.53,2.83,,,0.789686717391759
"Verlander, Justin",DROP,CU,3,wil crowe,2021,2022,10.37,3.47,,,0.7856550613046875
"Verlander, Justin",DROP,CU,4,yariel rodríguez,2024,2025,10.6,0.0,,,0.7657950248612626
"Verlander, Justin",DROP,CU,5,josh staumont,2023,2024,20.98,3.11,,,0.7652549142963518
"Verlander, Justin",DROP,ST,1,tyler wells,2022,2023,5.59,0.0,,,0.874653941656699
