player_name,pitcher,pitch_type,pitch_name,p_throws,pitches,balls,velo,spin,spin_axis,HB,IVB,extension,release_x,release_z,swing_rate,whiff_rate,called_strike_rate,chase_rate,strike_rate,xwoba,xba,avg_exit_velocity,avg_launch_angle,hard_hit_rate,sweet_spot_rate,run_value,avg_run_value,swings,whiffs,contacts,balls_in_play,csw_rate,run_value_per_100,usage
"Abbott, Andrew",671096,CH,Changeup,L,526,526,84.8217,1984.0342,133.1521,15.1675,10.2062,6.3051,2.5726,6.0303,0.5437,0.1293,0.0817,0.251,0.6255,0.307,0.3125,77.1264,14.0891,0.0532,0.1103,-3.446,-0.0066,286,68,218,123,0.211,-0.6551,0.1965
"Abbott, Andrew",671096,CU,Curveball,L,308,308,80.5646,2790.9578,306.276,-8.693,-3.8696,6.2159,2.4774,6.1455,0.3831,0.0779,0.25,0.0844,0.6331,0.2719,0.3058,80.1212,17.3294,0.0552,0.0649,1.278,0.0041,118,24,94,43,0.3279,0.4149,0.1151
"Abbott, Andrew",671096,FC,Cutter,L,115,115,88.6487,2523.8609,185.4783,-0.5176,8.4501,6.3096,2.5363,6.0236,0.6174,0.1391,0.0783,0.1565,0.6957,0.3856,0.3347,83.075,13.0208,0.1304,0.0783,3.937,0.0342,71,16,55,19,0.2174,3.4235,0.043
"Abbott, Andrew",671096,FF,4-Seam Fastball,L,1263,1263,92.7834,2274.95,146.1659,9.0829,16.1828,6.3323,2.5295,5.9863,0.4727,0.0808,0.2043,0.1116,0.677,0.3025,0.3035,83.5503,29.3407,0.0776,0.114,-15.014,-0.0119,597,102,495,221,0.285,-1.1888,0.4718
"Abbott, Andrew",671096,ST,Sweeper,L,465,465,82.6699,2791.3419,290.6151,-11.9363,2.4859,6.3211,2.5167,6.0337,0.5742,0.1806,0.1011,0.172,0.6753,0.2479,0.2898,78.1244,26.2151,0.0624,0.1183,-3.734,-0.008,267,84,181,83,0.2817,-0.803,0.1737
"Abel, Mick",690953,CH,Changeup,R,63,63,89.1286,1703.7302,225.1587,-10.1295,3.1048,6.8317,-1.686,5.65,0.4444,0.0952,0.0635,0.0952,0.5079,0.3732,0.3981,85.7526,10.3684,0.1111,0.0952,1.37,0.0217,28,6,22,10,0.1587,2.1746,0.0875
"Abel, Mick",690953,CU,Curveball,R,154,154,82.6617,2671.6688,49.8831,9.8119,-9.5782,6.7909,-1.6449,5.6231,0.4156,0.1429,0.1948,0.1688,0.6104,0.2124,0.3645,82.5,-3.0833,0.0779,0.0455,-0.325,-0.0021,64,22,42,19,0.3377,-0.211,0.2139
"Abel, Mick",690953,FF,4-Seam Fastball,R,303,303,96.4416,2544.4752,217.7327,-8.3465,16.1925,6.7518,-1.701,5.6664,0.5347,0.1188,0.1287,0.1221,0.6634,0.4184,0.3658,82.2872,34.3945,0.066,0.1122,2.556,0.0084,162,36,126,44,0.2475,0.8436,0.4208
"Abel, Mick",690953,SI,Sinker,R,95,95,95.4084,2468.6947,216.7263,-14.9583,9.9309,6.7305,-1.7317,5.6698,0.5158,0.0632,0.1579,0.1053,0.6737,0.3512,0.3541,86.5195,9.9512,0.1053,0.1368,1.012,0.0107,49,6,43,23,0.2211,1.0653,0.1319
"Abel, Mick",690953,SL,Slider,R,83,83,87.3373,2419.3976,118.3253,1.252,1.1147,6.7422,-1.6951,5.6255,0.5181,0.0843,0.2048,0.1205,0.7229,0.3197,0.3142,87.3886,14.6571,0.2048,0.1446,-1.787,-0.0215,43,7,36,19,0.2892,-2.153,0.1153
"Abel, Mick",690953,ST,Sweeper,R,22,22,84.5455,2781.0,49.4091,14.1545,-2.9836,6.9955,-1.6818,5.4364,0.5455,0.1818,0.0455,0.2273,0.5909,0.2368,0.3797,74.8714,32.4286,0.0455,0.0909,-0.252,-0.0115,12,4,8,3,0.2273,-1.1455,0.0306
"Abner, Philip",691769,CU,Curveball,L,4,4,80.625,2195.25,309.5,-2.37,-5.76,6.35,2.4875,5.7125,0.5,0.0,0.0,0.25,0.5,0.4845,0.5085,92.3,0.0,0.0,0.25,0.937,0.2342,2,0,2,2,0.0,23.425,0.0563
"Abner, Philip",691769,FF,4-Seam Fastball,L,52,52,90.3577,2393.4808,169.9231,-2.2569,13.5323,6.4673,2.6273,5.6906,0.4808,0.1538,0.1923,0.1731,0.6731,0.3069,0.1768,81.96,44.2667,0.0577,0.0577,-0.296,-0.0057,25,8,17,6,0.3462,-0.5692,0.7324
"Abner, Philip",691769,SL,Slider,L,15,15,79.1467,2386.2,295.6,-12.304,2.824,6.4067,2.96,5.4107,0.4,0.0,0.1333,0.1333,0.5333,0.2107,0.325,73.66,2.6,0.0667,0.0667,0.192,0.0128,6,0,6,2,0.1333,1.28,0.2113
"Abreu, Bryan",650556,CH,Changeup,R,5,5,91.22,1728.8,242.8,-16.008,5.184,6.7,-2.59,5.418,0.0,0.0,0.0,0.0,0.0,0.7223,,,,0.0,0.0,0.45,0.09,0,0,0,0,0.0,9.0,0.0042
"Abreu, Bryan",650556,FF,4-Seam Fastball,R,594,594,97.2963,2314.1061,214.1582,-6.5521,16.6,6.6343,-2.403,5.5462,0.4579,0.1515,0.133,0.1162,0.5909,0.295,0.3404,83.5512,31.3025,0.0572,0.0825,-4.727,-0.008,272,90,182,69,0.2845,-0.7958,0.4996
"Abreu, Bryan",650556,SI,Sinker,R,14,14,95.95,2171.2857,217.7857,-16.3714,11.5457,6.6429,-2.71,5.2907,0.4286,0.1429,0.0714,0.1429,0.5,0.3336,0.3335,91.8333,4.0,0.0714,0.0,0.321,0.0229,6,2,4,2,0.2143,2.2929,0.0118
"Abreu, Bryan",650556,SL,Slider,R,576,576,86.4958,2923.0625,53.658,8.4371,-6.0869,6.492,-2.5882,5.7406,0.4705,0.2135,0.191,0.2101,0.6615,0.2787,0.3678,82.6146,6.3333,0.0729,0.0712,-10.091,-0.0175,271,123,148,85,0.4045,-1.7519,0.4844
"Acton, Garrett",670183,CH,Changeup,R,4,4,86.4,2098.25,214.0,-14.79,11.97,6.0,-2.085,5.9875,0.5,0.25,0.0,0.0,0.5,0.012,0.013,95.2,63.0,0.25,0.0,-0.25,-0.0625,2,1,1,1,0.25,-6.25,0.1905
"Acton, Garrett",670183,FF,4-Seam Fastball,R,17,17,94.2353,2488.0588,200.8235,-5.2729,18.8682,5.9,-1.9235,6.1571,0.2941,0.0,0.1765,0.1176,0.4706,0.3535,0.014,84.925,52.75,0.0588,0.0,0.049,0.0029,5,0,5,2,0.1765,0.2882,0.8095
"Adam, Jason",592094,CH,Changeup,R,363,363,88.1642,2039.5069,231.7686,-16.1336,3.5729,6.3218,-1.0928,6.3763,0.5152,0.1653,0.0964,0.1873,0.6116,0.2387,0.241,83.4819,7.619,0.0771,0.0579,-3.107,-0.0086,187,60,126,61,0.2617,-0.8559,0.3339
"Adam, Jason",592094,FC,Cutter,R,3,3,85.9333,2516.0,182.0,1.76,5.36,6.4,-0.9633,6.4167,1.0,0.3333,0.0,0.6667,1.0,0.031,0.02,93.05,27.5,0.3333,0.0,-0.333,-0.111,3,1,2,1,0.3333,-11.1,0.0028
"Adam, Jason",592094,FF,4-Seam Fastball,R,247,247,94.5931,2586.4251,210.5466,-8.0866,18.7049,6.5077,-0.9766,6.4354,0.4656,0.085,0.1377,0.1984,0.6032,0.2766,0.2643,83.7918,30.9529,0.0769,0.085,-3.79,-0.0153,115,21,94,40,0.2227,-1.5344,0.2272
"Adam, Jason",592094,SL,Slider,R,382,382,83.9484,2602.7016,69.7173,1.435,-1.8521,6.3804,-1.078,6.3865,0.4948,0.1885,0.2094,0.1387,0.7042,0.2854,0.3569,82.9971,8.8585,0.0681,0.0628,-4.549,-0.0119,189,72,117,52,0.3979,-1.1908,0.3514
"Adam, Jason",592094,ST,Sweeper,R,92,92,77.5163,2573.25,45.4348,15.2974,-3.5765,6.2022,-1.0903,6.3547,0.3913,0.1196,0.1522,0.1304,0.5435,0.2343,0.2179,78.9792,17.5417,0.0652,0.0543,0.684,0.0074,36,11,25,17,0.2717,0.7435,0.0846
"Adams, Travis",701519,CH,Changeup,R,111,111,87.3811,1942.7027,234.5676,-15.2941,4.8486,6.2568,-1.9329,5.6886,0.4144,0.1261,0.1081,0.1802,0.5225,0.3161,0.3482,78.6714,8.0,0.045,0.0811,1.572,0.0142,46,14,32,18,0.2342,1.4162,0.1674
"Adams, Travis",701519,CU,Curveball,R,27,27,79.0778,2468.3704,45.963,8.2222,-9.0489,6.1481,-2.0089,5.9007,0.3704,0.0741,0.1852,0.1111,0.5556,0.7303,0.7157,75.75,14.0,0.0741,0.1481,1.824,0.0676,10,2,8,3,0.2593,6.7556,0.0407
"Adams, Travis",701519,FC,Cutter,R,123,123,90.835,2513.2033,173.7967,4.8722,8.0751,6.1228,-2.1464,5.9734,0.5285,0.1057,0.1626,0.1382,0.6911,0.5413,0.4629,84.6702,22.3191,0.1138,0.1626,0.743,0.006,65,13,52,20,0.2683,0.6041,0.1855
"Adams, Travis",701519,FF,4-Seam Fastball,R,195,195,94.7651,2409.9282,213.6205,-5.28,15.2886,6.2164,-2.0316,5.9273,0.5128,0.1231,0.1641,0.1026,0.6769,0.3368,0.3871,81.5915,28.5211,0.0821,0.1282,1.18,0.0061,100,24,76,28,0.2872,0.6051,0.2941
"Adams, Travis",701519,SI,Sinker,R,74,74,94.0905,2231.2838,221.5541,-13.7432,6.9292,6.2959,-2.553,5.7504,0.5135,0.0946,0.1892,0.1351,0.7027,0.4422,0.3585,84.6333,7.3704,0.0946,0.0811,-0.808,-0.0109,38,7,31,14,0.2838,-1.0919,0.1116
"Adams, Travis",701519,SL,Slider,R,133,133,85.6233,2325.2857,101.3233,5.1726,-0.1056,6.3226,-2.2661,5.7434,0.3759,0.1053,0.1203,0.1504,0.4962,0.3416,0.3016,84.9031,13.8125,0.0902,0.1053,2.515,0.0189,50,14,36,23,0.2256,1.891,0.2006
"Adcock, Ty",686654,FC,Cutter,R,17,17,93.0529,2205.4706,187.5882,3.4306,9.7129,6.2765,-1.2318,6.0029,0.5882,0.0,0.0588,0.0588,0.6471,0.5637,0.473,81.6556,33.7778,0.0588,0.1765,0.643,0.0378,10,0,10,1,0.0588,3.7824,0.2073
