player_id,player_name,season,CH_usage_pct,CS_usage_pct,CU_usage_pct,EP_usage_pct,FA_usage_pct,FC_usage_pct,FF_usage_pct,FO_usage_pct,FS_usage_pct,KC_usage_pct,KN_usage_pct,PO_usage_pct,SC_usage_pct,SI_usage_pct,SL_usage_pct,ST_usage_pct,SV_usage_pct,UN_usage_pct,CH_avg_speed,CS_avg_speed,CU_avg_speed,EP_avg_speed,FA_avg_speed,FC_avg_speed,FF_avg_speed,FO_avg_speed,FS_avg_speed,KC_avg_speed,KN_avg_speed,PO_avg_speed,SC_avg_speed,SI_avg_speed,SL_avg_speed,ST_avg_speed,SV_avg_speed,UN_avg_speed,CH_avg_spin,CS_avg_spin,CU_avg_spin,EP_avg_spin,FA_avg_spin,FC_avg_spin,FF_avg_spin,FO_avg_spin,FS_avg_spin,KC_avg_spin,KN_avg_spin,PO_avg_spin,SC_avg_spin,SI_avg_spin,SL_avg_spin,ST_avg_spin,SV_avg_spin,UN_avg_spin,CH_whiff_rate,CS_whiff_rate,CU_whiff_rate,EP_whiff_rate,FA_whiff_rate,FC_whiff_rate,FF_whiff_rate,FO_whiff_rate,FS_whiff_rate,KC_whiff_rate,KN_whiff_rate,PO_whiff_rate,SC_whiff_rate,SI_whiff_rate,SL_whiff_rate,ST_whiff_rate,SV_whiff_rate,UN_whiff_rate,CH_avg_pfx_x,CS_avg_pfx_x,CU_avg_pfx_x,EP_avg_pfx_x,FA_avg_pfx_x,FC_avg_pfx_x,FF_avg_pfx_x,FO_avg_pfx_x,FS_avg_pfx_x,KC_avg_pfx_x,KN_avg_pfx_x,PO_avg_pfx_x,SC_avg_pfx_x,SI_avg_pfx_x,SL_avg_pfx_x,ST_avg_pfx_x,SV_avg_pfx_x,UN_avg_pfx_x,CH_avg_pfx_z,CS_avg_pfx_z,CU_avg_pfx_z,EP_avg_pfx_z,FA_avg_pfx_z,FC_avg_pfx_z,FF_avg_pfx_z,FO_avg_pfx_z,FS_avg_pfx_z,KC_avg_pfx_z,KN_avg_pfx_z,PO_avg_pfx_z,SC_avg_pfx_z,SI_avg_pfx_z,SL_avg_pfx_z,ST_avg_pfx_z,SV_avg_pfx_z,UN_avg_pfx_z
424144,óliver pérez,2020,,,,,,,13.64,,,,,,,43.01,43.36,,,,,,,,,,89.52,,,,,,,89.94,76.05,,,,,,,,,,2152.0,,,,,,,2102.0,2192.0,,,,,,,,,,0.0968,,,,,,,0.1,0.1392,,,,,,,,,,0.97,,,,,,,1.48,-0.82,,,,,,,,,,1.29,,,,,,,0.62,-0.1,,,
425794,adam wainwright,2020,2.4,,38.42,,,21.86,9.88,,,,,,,27.45,,,,,81.84,,73.56,,,85.04,89.12,,,,,,,89.37,,,,,1679.0,,2788.0,,,2344.0,2222.0,,,,,,,2189.0,,,,,0.1,,0.2325,,,0.1699,0.069,,,,,,,0.0647,,,,,-1.14,,1.4,,,0.5,-0.17,,,,,,,-1.02,,,,,0.58,,-1.18,,,0.51,1.2,,,,,,,0.95,,,,
425794,adam wainwright,2021,6.79,0.37,33.51,,,21.27,10.19,,,,,,,27.88,,,,,82.76,65.7,73.48,,,84.92,88.98,,,,,,,89.09,,,,,1729.0,2552.0,2837.0,,,2406.0,2234.0,,,,,,,2227.0,,,,,0.1203,0.2,0.1804,,,0.1455,0.0745,,,,,,,0.0466,,,,,-1.15,1.25,1.38,,,0.53,-0.14,,,,,,,-1.06,,,,,0.64,-1.24,-1.22,,,0.53,1.21,,,,,,,1.02,,,,
425794,adam wainwright,2022,6.32,1.02,30.37,,,24.88,9.2,,,,,,,28.11,0.09,,,,82.19,67.66,72.9,,,84.3,88.0,,,,,,,88.54,75.27,,,,1761.0,2567.0,2774.0,,,2410.0,2235.0,,,,,,,2198.0,2683.0,,,,0.1415,0.0588,0.1405,,,0.1324,0.0828,,,,,,,0.0464,,,,,-1.19,1.32,1.34,,,0.52,-0.11,,,,,,,-1.08,1.55,,,,0.66,-1.23,-1.24,,,0.51,1.26,,,,,,,1.01,-0.42,,,
425794,adam wainwright,2023,4.99,0.17,30.59,,,22.63,9.97,,,,,,,31.37,0.28,,,,81.43,65.73,71.51,,,82.85,85.73,,,,,,,86.88,75.6,,,,1655.0,2449.0,2648.0,,,2322.0,2159.0,,,,,,,2167.0,2458.0,,,,0.0769,0.0,0.105,,,0.1111,0.0561,,,,,,,0.0436,0.0,,,,-1.17,1.21,1.38,,,0.46,-0.16,,,,,,,-1.1,1.37,,,,0.73,-1.25,-1.13,,,0.64,1.24,,,,,,,0.93,-0.24,,,
425844,zack greinke,2020,21.79,0.38,14.76,0.15,4.89,,41.67,,,,,,,0.08,16.28,,,,86.24,63.68,70.7,53.15,78.94,,88.2,,,,,,,89.7,84.5,,,,1667.0,2226.0,2427.0,1354.0,1989.0,,2315.0,,,,,,,2259.0,2412.0,,,,0.3918,0.3333,0.1591,0.0,0.0571,,0.0618,,,,,,,0.0,0.1462,,,,-1.08,1.07,0.89,0.07,-0.24,,-0.09,,,,,,,-1.12,0.54,,,,0.36,-1.0,-0.91,1.28,1.19,,1.43,,,,,,,1.19,0.46,,,
425844,zack greinke,2021,22.46,0.22,15.86,0.07,0.33,1.99,40.02,,,,,,,5.47,13.58,,,,86.41,62.57,71.17,52.2,80.78,83.88,88.93,,,,,,,89.5,83.39,,,,1605.0,1918.0,2364.0,1302.0,1632.0,2406.0,2238.0,,,,,,,2146.0,2358.0,,,,0.2529,0.0,0.1836,0.0,0.2,0.2432,0.063,,,,,,,0.0854,0.2291,,,,-1.06,0.43,0.95,0.29,-0.65,0.59,-0.1,,,,,,,-1.08,0.66,,,,0.36,-0.1,-0.88,1.8,0.65,0.22,1.37,,,,,,,0.91,0.22,,,
425844,zack greinke,2022,16.43,,20.19,,,15.0,38.39,,,,,,,2.42,7.57,,,,86.47,,71.92,,,85.82,89.15,,,,,,,89.44,81.86,,,,1644.0,,2431.0,,,2371.0,2286.0,,,,,,,2197.0,2448.0,,,,0.1376,,0.1176,,,0.1435,0.0784,,,,,,,0.1071,0.181,,,,-1.07,,1.04,,,0.55,-0.17,,,,,,,-0.96,0.7,,,,0.32,,-0.93,,,0.51,1.32,,,,,,,0.84,0.49,,,
425844,zack greinke,2023,16.41,0.04,14.0,,,6.85,27.03,,,,,,,15.53,20.14,,,,86.53,57.9,72.54,,,85.17,89.54,,,,,,,89.8,79.22,,,,1755.0,1971.0,2411.0,,,2437.0,2250.0,,,,,,,2206.0,2465.0,,,,0.1683,,0.1061,,,0.1308,0.0758,,,,,,,0.025,0.1777,,,,-1.11,0.65,0.95,,,0.58,-0.25,,,,,,,-1.24,1.13,,,,0.35,-0.78,-0.89,,,0.35,1.31,,,,,,,0.8,0.21,,,
429722,ervin santana,2021,3.29,,,,,,45.16,,,,,,,,51.55,,,,87.18,,,,,,93.35,,,,,,,,84.36,,,,1681.0,,,,,,2178.0,,,,,,,,2319.0,,,,0.0556,,,,,,0.0974,,,,,,,,0.2601,,,,-0.67,,,,,,-0.37,,,,,,,,0.37,,,,1.08,,,,,,1.17,,,,,,,,0.15,,,
